tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,5,201403,,,Anna Chakvetadze,R,170,RUS,24.84873374,234,247,201512,3,,Monica Niculescu,R,168,ROU,24.29021218,32,1725,6-0 6-4,3,R32,,3,4,57,34,24,11,,5,6,1,2,48,33,16,6,,2,7
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,6,201450,,,Tsvetana Pironkova,R,180,BUL,24.32306639,48,1162,201586,,Q,Heather Watson,R,170,GBR,19.64134155,106,647,7-6(10) 3-6 7-6(2),3,R32,,5,5,106,67,43,19,,2,8,4,4,121,80,49,22,,1,5
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,7,201678,,Q,Sacha Jones,R,,AUS,21.16906229,272,203,201470,,LL,Kristina Barrois,R,,GER,30.275154,89,725,6-1 6-4,3,R32,,2,2,56,42,28,8,,2,4,2,2,51,36,20,5,,5,10
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,8,201424,6,,Shahar Peer,R,170,ISR,24.69267625,37,1460,201556,,,Lucie Hradecka,R,177,CZE,26.63655031,49,1146,6-3 6-1,3,R32,,0,1,39,24,20,9,,1,2,3,8,50,28,18,5,,2,7
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,9,201514,,,Sorana Cirstea,R,176,ROU,21.75770021,60,991,201584,7,,Ksenia Pervak,L,170,KAZ,20.62149213,40,1365,6-2 7-6(6),3,R32,,4,0,69,43,31,14,,3,4,4,4,86,56,31,16,,8,11
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,10,201318,,,Bethanie Mattek Sands,R,168,USA,26.7980835,56,1107,202458,,WC,Ashleigh Barty,R,,AUS,15.70978782,674,33,6-2 6-2,3,R32,,0,2,45,24,17,14,,2,3,0,4,71,42,22,11,,6,11
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,11,201506,,,Sara Errani,R,164,ITA,24.69815195,47,1190,201596,,,Johanna Larsson,R,174,SWE,23.39493498,59,1006,6-3 6-3,3,R32,,0,1,55,42,25,9,,2,5,0,3,54,40,17,6,,1,7
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,12,201493,4,,Angelique Kerber,L,173,GER,23.97535934,31,1750,201455,,,Elena Vesnina,R,176,RUS,25.44010951,50,1145,6-2 6-4,3,R32,,2,4,58,42,27,6,,2,5,1,3,61,43,20,5,,4,10
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,14,201370,,WC,Anastasia Rodionova,R,167,AUS,29.66187543,107,633,201086,,,Greta Arn,R,,HUN,32.74195756,92,697,6-4 7-5,3,R32,,0,2,75,49,31,16,,5,7,1,7,81,41,27,18,,6,10
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,15,201621,,Q,Mona Barthel,R,185,GER,21.49760438,64,938,201472,,Q,Romina Oprandi,R,,SUI,25.78234086,82,824,6-1 6-4,3,R32,,1,2,56,35,23,11,,3,5,0,1,47,33,15,6,,4,9
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,16,201286,2,,Anabel Medina Garrigues,R,169,ESP,29.44284736,27,1950,201521,,,Carla Suarez Navarro,R,162,ESP,23.34839151,58,1078,6-2 7-6(3),3,R32,,0,0,81,59,39,10,,7,9,0,6,73,51,34,6,,7,11
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,17,201518,1,,Yanina Wickmayer,R,182,BEL,22.22039699,29,1880,201348,,WC,Casey Dellacqua,L,,AUS,26.90759754,135,498,6-1 6-1,3,R16,,0,2,46,31,21,11,,2,2,0,3,51,31,15,6,,5,10
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,18,201594,,,Simona Halep,R,168,ROU,20.28473648,57,1092,201593,8,,Irina Camelia Begu,R,181,ROU,21.37166324,41,1313,6-4 6-2,3,R16,,1,2,60,41,29,11,,5,6,0,1,61,43,25,7,,3,7
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,19,201403,,,Anna Chakvetadze,R,170,RUS,24.84873374,234,247,201450,,,Tsvetana Pironkova,R,180,BUL,24.32306639,48,1162,6-3 6-2,3,R16,,3,4,44,29,20,5,,2,5,1,4,53,33,14,6,,3,10
